dataset,n,tsteps,cpu_threads,block_size,seconds_time_elapsed,insn_per_cycle,branch_misses,gpu_teams,gpu_threads_per_team,cuda_threads,ket,saxpy
test_large_CU_qa,100000,1000,nan,nan,0,249056767,0.51,565846,nan,nan,nan,nan,nan
test_large_CU_qa,100000,1000,nan,nan,0,258707919,0.51,541029,nan,nan,nan,nan,nan
test_large_CU_qa,100000,1000,nan,nan,0,248377187,0.51,555361,nan,nan,nan,nan,nan
test_large_CU_qa,100000,1000,nan,nan,0,247943308,0.51,540081,nan,nan,nan,nan,nan
test_large_CU_qa,100000,1000,nan,nan,0,243547896,0.51,549435,nan,nan,nan,nan,nan
test_large_CU_qa,100000,1000,nan,nan,0,252318476,0.50,572198,nan,nan,nan,nan,nan
test_large_CU_qa,100000,1000,nan,nan,0,238482106,0.51,543610,nan,nan,nan,nan,nan
test_large_CU_qa,100000,1000,nan,nan,0,232614878,0.51,541547,nan,nan,nan,nan,nan
test_large_CU_qa,100000,1000,nan,nan,0,251331078,0.51,537729,nan,nan,nan,nan,nan
test_extralarge_CU_qa,1000000,1000,nan,nan,1,513889450,0.45,624366,nan,nan,nan,nan,nan
test_extralarge_CU_qa,1000000,1000,nan,nan,1,341719793,0.45,600754,nan,nan,nan,nan,nan
test_extralarge_CU_qa,1000000,1000,nan,nan,1,332442252,0.45,618201,nan,nan,nan,nan,nan
test_extralarge_CU_qa,1000000,1000,nan,nan,1,356414497,0.45,610165,nan,nan,nan,nan,nan
test_extralarge_CU_qa,1000000,1000,nan,nan,1,456613213,0.45,636073,nan,nan,nan,nan,nan
test_extralarge_CU_qa,1000000,1000,nan,nan,1,344013350,0.45,609915,nan,nan,nan,nan,nan
test_extralarge_CU_qa,1000000,1000,nan,nan,1,344612764,0.45,617004,nan,nan,nan,nan,nan
test_extralarge_CU_qa,1000000,1000,nan,nan,1,339687943,0.45,614417,nan,nan,nan,nan,nan
test_extralarge_CU_qa,1000000,1000,nan,nan,1,459764405,0.45,620717,nan,nan,nan,nan,nan
test_extralarge_CU_qa,1000000,1000,nan,nan,1,346468420,0.45,595578,nan,nan,nan,nan,nan
test_extralarge_CU_qa,1000000,1000,nan,nan,1,350586494,0.45,622116,nan,nan,nan,nan,nan
test_extralarge_CU_qa,1000000,1000,nan,nan,1,359278263,0.45,604992,nan,nan,nan,nan,nan
