dataset,n,tsteps,cpu_threads,block_size,seconds_time_elapsed,insn_per_cycle,branch_misses,gpu_teams,gpu_threads_per_team,cuda_threads,ket,saxpy
test_mini_CU_qa,500,2,nan,512,0.011086,1.69,58009,nan,nan,256,0.001,0.000
test_mini_CU_qa,500,2,nan,32,0.011015,1.70,57684,nan,nan,512,0.001,0.000
test_mini_CU_qa,500,2,nan,128,0.012154,1.68,58021,nan,nan,512,0.001,0.000
test_mini_CU_qa,500,2,nan,256,0.0115110,1.68,57669,nan,nan,512,0.001,0.000
test_mini_CU_qa,500,2,nan,512,0.011893,1.66,59571,nan,nan,512,0.001,0.000
test_small_CU_qa,1000,10,nan,32,0.011086,1.71,57765,nan,nan,128,0.001,0.000
test_small_CU_qa,1000,10,nan,128,0.011061,1.73,58600,nan,nan,128,0.001,0.000
test_small_CU_qa,1000,10,nan,256,0.013044,1.51,60260,nan,nan,128,0.001,0.000
test_small_CU_qa,1000,10,nan,512,0.011274,1.71,59073,nan,nan,128,0.001,0.000
test_small_CU_qa,1000,10,nan,32,0.011556,1.71,57871,nan,nan,256,0.001,0.000
test_small_CU_qa,1000,10,nan,128,0.011202,1.66,58542,nan,nan,256,0.001,0.000
test_small_CU_qa,1000,10,nan,256,0.011474,1.70,57841,nan,nan,256,0.001,0.000
test_small_CU_qa,1000,10,nan,512,0.011362,1.71,58172,nan,nan,256,0.001,0.000
test_small_CU_qa,1000,10,nan,32,0.01454,1.45,59693,nan,nan,512,0.001,0.000
test_small_CU_qa,1000,10,nan,128,0.012809,1.60,59131,nan,nan,512,0.001,0.000
test_small_CU_qa,1000,10,nan,256,0.010764,1.69,59139,nan,nan,512,0.001,0.000
test_small_CU_qa,1000,10,nan,512,0.010964,1.71,57467,nan,nan,512,0.001,0.000
test_standard_CU_qa,10000,100,nan,32,0.011070,1.73,57101,nan,nan,128,0.001,0.000
test_standard_CU_qa,10000,100,nan,128,0.011118,1.70,58464,nan,nan,128,0.001,0.000
test_standard_CU_qa,10000,100,nan,256,0.011376,1.69,57697,nan,nan,128,0.001,0.000
test_standard_CU_qa,10000,100,nan,512,0.011096,1.69,58305,nan,nan,128,0.001,0.000
test_standard_CU_qa,10000,100,nan,32,0.011233,1.72,57817,nan,nan,256,0.001,0.000
test_standard_CU_qa,10000,100,nan,128,0.011073,1.67,58806,nan,nan,256,0.001,0.000
test_standard_CU_qa,10000,100,nan,256,0.010998,1.71,58002,nan,nan,256,0.001,0.000
test_standard_CU_qa,10000,100,nan,512,0.011093,1.69,58993,nan,nan,256,0.001,0.000
test_standard_CU_qa,10000,100,nan,32,0.010910,1.73,57143,nan,nan,512,0.001,0.000
test_standard_CU_qa,10000,100,nan,128,0.011015,1.70,58870,nan,nan,512,0.001,0.000
test_standard_CU_qa,10000,100,nan,256,0.010804,1.73,57785,nan,nan,512,0.001,0.000
test_standard_CU_qa,10000,100,nan,512,0.011325,1.68,58566,nan,nan,512,0.001,0.000
test_large_CU_qa,100000,1000,nan,32,0.010883,1.71,58059,nan,nan,128,0.001,0.000
test_large_CU_qa,100000,1000,nan,128,0.011249,1.70,58745,nan,nan,128,0.001,0.000
test_large_CU_qa,100000,1000,nan,256,0.011061,1.72,58030,nan,nan,128,0.001,0.000
test_large_CU_qa,100000,1000,nan,512,0.011372,1.66,58696,nan,nan,128,0.001,0.000
test_large_CU_qa,100000,1000,nan,32,0.011142,1.72,57644,nan,nan,256,0.001,0.000
test_large_CU_qa,100000,1000,nan,128,0.011491,1.65,58445,nan,nan,256,0.001,0.000
test_large_CU_qa,100000,1000,nan,256,0.011174,1.72,57935,nan,nan,256,0.001,0.000
test_large_CU_qa,100000,1000,nan,512,0.011607,1.66,57818,nan,nan,256,0.001,0.000
test_large_CU_qa,100000,1000,nan,32,0.011526,1.68,59133,nan,nan,512,0.001,0.000
test_large_CU_qa,100000,1000,nan,128,0.011328,1.71,58079,nan,nan,512,0.001,0.000
test_large_CU_qa,100000,1000,nan,256,0.011729,1.72,57833,nan,nan,512,0.001,0.000
test_large_CU_qa,100000,1000,nan,512,0.0112474,1.71,58789,nan,nan,512,0.001,0.000
test_extralarge_CU_qa,1000000,1000,nan,32,0.011662,1.68,58985,nan,nan,128,0.001,0.000
test_extralarge_CU_qa,1000000,1000,nan,128,0.0114345,1.68,57387,nan,nan,128,0.001,0.000
test_extralarge_CU_qa,1000000,1000,nan,256,0.011250,1.71,57305,nan,nan,128,0.001,0.000
test_extralarge_CU_qa,1000000,1000,nan,512,0.011400,1.71,57743,nan,nan,128,0.001,0.000
test_extralarge_CU_qa,1000000,1000,nan,32,0.0120358,1.69,58111,nan,nan,256,0.001,0.000
test_extralarge_CU_qa,1000000,1000,nan,128,0.011386,1.71,58479,nan,nan,256,0.001,0.000
test_extralarge_CU_qa,1000000,1000,nan,256,0.011761,1.67,58230,nan,nan,256,0.001,0.000
test_extralarge_CU_qa,1000000,1000,nan,512,0.011104,1.72,58940,nan,nan,256,0.001,0.000
test_extralarge_CU_qa,1000000,1000,nan,32,0.011428,1.68,59487,nan,nan,512,0.001,0.000
test_extralarge_CU_qa,1000000,1000,nan,128,0.011292,1.71,57493,nan,nan,512,0.001,0.000
test_extralarge_CU_qa,1000000,1000,nan,256,0.011743,1.69,57658,nan,nan,512,0.001,0.000
test_extralarge_CU_qa,1000000,1000,nan,512,0.011003,1.72,57801,nan,nan,512,0.001,0.000
